,nct_id,start_date,phase,year,BreastCancer,ProstateCancer,Stroke,HeartFailure,Pain,Obesity,Cancer,Depression,Hypertension,Anxiety,UnitedStates,Canada,China,France,Germany,UnitedKingdom,Korea,Italy,Spain,Turkey
1,NCT00455039,2023/7/31,PHASE1/PHASE2,2023,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,NCT00573586,2020/12/31,NA,2020,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,NCT00623389,2018/6/1,NA,2018,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,NCT00737893,2017/7/1,PHASE2,2017,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,NCT00908856,2016/1/31,PHASE1,2016,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,NCT00999557,2016/1/31,NA,2016,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,NCT01014000,2015/6/30,NA,2015,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,NCT01123486,2015/1/31,NA,2015,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,NCT01187368,2020/3/31,NA,2020,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,NCT01422096,2018/6/1,EARLY_PHASE1,2018,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,NCT01422707,2018/1/19,EARLY_PHASE1,2018,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12,NCT01422733,2018/6/1,EARLY_PHASE1,2018,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,NCT01422746,2017/3/20,EARLY_PHASE1,2017,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,NCT01422759,2016/12/9,NA,2016,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
