"id","nct_id","name","downcase_name"
49344031,"NCT00000105","Cancer","cancer"
49103315,"NCT00001956","Healthy","healthy"
49103317,"NCT00001956","Pain","pain"
49321000,"NCT00001966","Pain","pain"
49347961,"NCT00001977","Healthy","healthy"
49067020,"NCT00001985","Healthy","healthy"
48747539,"NCT00004054","Prostate Cancer","prostate cancer"
49070054,"NCT00004067","Breast Cancer","breast cancer"
49149493,"NCT00004157","Breast Cancer","breast cancer"
48980737,"NCT00004553","Healthy","healthy"
49279499,"NCT00004554","Depression","depression"
49203028,"NCT00004565","Breast Cancer","breast cancer"
49203029,"NCT00004565","Healthy","healthy"
48740305,"NCT00004575","Healthy","healthy"
49387861,"NCT00004577","Healthy","healthy"
49324510,"NCT00004635","Prostate Cancer","prostate cancer"
48807401,"NCT00004732","Stroke","stroke"
48795972,"NCT00004879","Prostate Cancer","prostate cancer"
48959028,"NCT00004988","Cancer","cancer"
49099803,"NCT00004996","Healthy","healthy"
49007155,"NCT00005003","Healthy","healthy"
48743484,"NCT00005004","Healthy","healthy"
48743485,"NCT00005004","Stroke","stroke"
48906815,"NCT00005011","Depression","depression"
48534882,"NCT00005028","Prostate Cancer","prostate cancer"
49328930,"NCT00005044","Prostate Cancer","prostate cancer"
49046818,"NCT00005072","Prostate Cancer","prostate cancer"
48541263,"NCT00005108","Healthy","healthy"
48853136,"NCT00005111","Healthy","healthy"
48595115,"NCT00005181","Hypertension","hypertension"
48690344,"NCT00005485","Hypertension","hypertension"
48646638,"NCT00005569","Healthy","healthy"
48567584,"NCT00005581","Breast Cancer","breast cancer"
49188626,"NCT00005605","Breast Cancer","breast cancer"
49238428,"NCT00005608","Breast Cancer","breast cancer"
48977369,"NCT00005634","Prostate Cancer","prostate cancer"
48622227,"NCT00005635","Breast Cancer","breast cancer"
49278009,"NCT00005664","Obesity","obesity"
49371529,"NCT00005669","Obesity","obesity"
49322872,"NCT00005673","Healthy","healthy"
48816763,"NCT00005760","Obesity","obesity"
49021757,"NCT00005807","Breast Cancer","breast cancer"
48517705,"NCT00005810","Prostate Cancer","prostate cancer"
48607527,"NCT00005820","Prostate Cancer","prostate cancer"
49064243,"NCT00005822","Breast Cancer","breast cancer"
49364760,"NCT00005828","Prostate Cancer","prostate cancer"
48895314,"NCT00005842","Cancer","cancer"
48799830,"NCT00005847","Prostate Cancer","prostate cancer"
48798822,"NCT00005848","Prostate Cancer","prostate cancer"
49104841,"NCT00005850","Depression","depression"
49236352,"NCT00005857","Prostate Cancer","prostate cancer"
48949810,"NCT00005858","Breast Cancer","breast cancer"
48770669,"NCT00005860","Cancer","cancer"
48868341,"NCT00005879","Breast Cancer","breast cancer"
48867758,"NCT00005886","Breast Cancer","breast cancer"
49307722,"NCT00005907","Healthy","healthy"
48630972,"NCT00005908","Breast Cancer","breast cancer"
49073451,"NCT00005916","Prostate Cancer","prostate cancer"
48966334,"NCT00005919","Healthy","healthy"
48929272,"NCT00005924","Healthy","healthy"
48740081,"NCT00005956","Breast Cancer","breast cancer"
48993433,"NCT00005957","Breast Cancer","breast cancer"
48768882,"NCT00005963","Breast Cancer","breast cancer"
49144086,"NCT00005980","Breast Cancer","breast cancer"
48984631,"NCT00005983","Breast Cancer","breast cancer"
49235422,"NCT00005992","Prostate Cancer","prostate cancer"
48528464,"NCT00006002","Prostate Cancer","prostate cancer"
49039215,"NCT00006007","Breast Cancer","breast cancer"
48983394,"NCT00006019","Prostate Cancer","prostate cancer"
48737839,"NCT00006023","Prostate Cancer","prostate cancer"
49087477,"NCT00006032","Breast Cancer","breast cancer"
48876354,"NCT00006044","Prostate Cancer","prostate cancer"
48734402,"NCT00006070","Healthy","healthy"
48704674,"NCT00006071","Hypertension","hypertension"
49077939,"NCT00006076","Healthy","healthy"
49196910,"NCT00006078","Prostate Cancer","prostate cancer"
48753419,"NCT00006120","Breast Cancer","breast cancer"
48731404,"NCT00006121","Breast Cancer","breast cancer"
48504605,"NCT00006123","Breast Cancer","breast cancer"
