"nct_id","start_date","overall_status","phase","enrollment","enrollment_type"
"NCT00000105",2002-07-31,"TERMINATED",NA,112,"ACTUAL"
"NCT00001956",2000-01-31,"COMPLETED","PHASE2",800,NA
"NCT00001966",2000-01-31,"COMPLETED","PHASE2",40,NA
"NCT00001977",2000-01-31,"COMPLETED",NA,70,NA
"NCT00001985",2000-01-31,"COMPLETED",NA,NA,NA
"NCT00004054",2000-01-31,"COMPLETED","PHASE3",397,"ACTUAL"
"NCT00004067",2000-02-29,"COMPLETED","PHASE3",2130,"ACTUAL"
"NCT00004157",2000-08-31,"COMPLETED","PHASE2",NA,NA
"NCT00004553",2000-02-29,"COMPLETED","NA",30,NA
"NCT00004554",2000-01-31,"COMPLETED","PHASE4",171,"ACTUAL"
"NCT00004565",2000-02-08,"COMPLETED",NA,737,"ACTUAL"
"NCT00004575",2000-02-29,"COMPLETED","PHASE1",15,NA
"NCT00004577",2000-07-01,"RECRUITING",NA,1100,"ESTIMATED"
"NCT00004635",2000-03-01,"COMPLETED","PHASE3",159,"ACTUAL"
"NCT00004732",2000-12-31,"COMPLETED","NA",2502,"ACTUAL"
"NCT00004879",2000-04-30,"COMPLETED","PHASE1",NA,NA
"NCT00004988",2000-03-31,"COMPLETED","PHASE1",45,NA
"NCT00004996",2000-03-20,"COMPLETED",NA,90,"ACTUAL"
"NCT00005003",2000-03-31,"COMPLETED",NA,1400,NA
"NCT00005004",2000-03-31,"COMPLETED",NA,500,NA
"NCT00005011",2000-03-28,"COMPLETED",NA,22,"ACTUAL"
"NCT00005028",2000-05-31,"COMPLETED","PHASE2",46,"ACTUAL"
"NCT00005044",2000-02-29,"COMPLETED","PHASE3",1579,"ACTUAL"
"NCT00005072",2000-11-30,"TERMINATED","PHASE1/PHASE2",25,"ACTUAL"
"NCT00005108",2000-04-30,"COMPLETED","PHASE2",25,NA
"NCT00005111",2000-04-30,"COMPLETED",NA,24,NA
"NCT00005181",2000-07-31,"COMPLETED",NA,NA,NA
"NCT00005485",2000-09-19,"ENROLLING_BY_INVITATION",NA,3000,"ESTIMATED"
"NCT00005569",2000-04-30,"COMPLETED","PHASE1",60,NA
"NCT00005581",2000-06-30,"UNKNOWN","PHASE3",1000,"ESTIMATED"
"NCT00005605",2000-02-29,"COMPLETED",NA,79,"ACTUAL"
"NCT00005608",2000-02-29,"TERMINATED","PHASE2",NA,NA
"NCT00005634",2000-01-31,"COMPLETED","PHASE1",NA,NA
"NCT00005635",2000-01-31,"COMPLETED","PHASE2",NA,NA
"NCT00005664",2000-05-22,"TERMINATED",NA,1588,"ACTUAL"
"NCT00005669",2000-05-31,"COMPLETED","PHASE2",100,"ACTUAL"
"NCT00005673",2000-05-31,"COMPLETED","PHASE1",46,NA
"NCT00005760",2000-05-31,"COMPLETED",NA,10,NA
"NCT00005807",2000-07-31,"COMPLETED","PHASE1",40,"ACTUAL"
"NCT00005810",2000-03-31,"COMPLETED","PHASE2",40,"ACTUAL"
"NCT00005820",2000-05-31,"COMPLETED","PHASE2",35,"ACTUAL"
"NCT00005822",2000-04-30,"COMPLETED","PHASE1",21,"ACTUAL"
"NCT00005828",2000-12-31,"COMPLETED","PHASE2",54,"ACTUAL"
"NCT00005842",2000-06-30,"COMPLETED","PHASE1",24,"ACTUAL"
"NCT00005847",2001-04-05,"COMPLETED","PHASE2",NA,NA
"NCT00005848",2000-04-30,"COMPLETED","PHASE2",7,"ACTUAL"
"NCT00005850",2001-08-31,"COMPLETED","PHASE2",21,"ACTUAL"
"NCT00005857",2000-08-31,"COMPLETED","PHASE2",NA,NA
"NCT00005858",2000-04-30,"COMPLETED","PHASE1",25,"ACTUAL"
"NCT00005860",2000-04-30,"COMPLETED","PHASE1",NA,NA
"NCT00005879",2000-08-31,"COMPLETED","PHASE2",199,"ACTUAL"
"NCT00005886",2000-07-31,"COMPLETED","PHASE1",NA,NA
"NCT00005907",2000-06-30,"COMPLETED",NA,55,NA
"NCT00005908",2000-06-30,"COMPLETED","PHASE2",30,"ACTUAL"
"NCT00005916",2000-06-13,"COMPLETED","PHASE2",48,"ACTUAL"
"NCT00005919",2000-06-30,"COMPLETED",NA,90,NA
"NCT00005924",2000-06-23,"COMPLETED",NA,41,"ACTUAL"
"NCT00005956",2000-02-29,"COMPLETED","NA",3,"ACTUAL"
"NCT00005957",2000-03-09,"COMPLETED","NA",1832,"ACTUAL"
"NCT00005963",2000-11-30,"COMPLETED","PHASE2",53,"ACTUAL"
"NCT00005980",2000-04-30,"COMPLETED","PHASE2",116,"ACTUAL"
"NCT00005983",2000-06-30,"TERMINATED","PHASE3",98,"ACTUAL"
"NCT00005992",2000-12-31,"UNKNOWN","PHASE1",NA,NA
"NCT00006002",2000-06-30,"COMPLETED","PHASE2",36,"ACTUAL"
"NCT00006007",2000-12-31,"COMPLETED","PHASE2",59,"ACTUAL"
"NCT00006019",2000-05-31,"COMPLETED","PHASE2",NA,NA
"NCT00006023",2000-03-31,"COMPLETED","PHASE2",NA,NA
"NCT00006032",2000-03-31,"TERMINATED","PHASE2",NA,NA
"NCT00006044",2000-02-29,"COMPLETED","PHASE1",NA,NA
"NCT00006070",2000-07-31,"COMPLETED","PHASE2",86,NA
"NCT00006071",2000-07-31,"COMPLETED",NA,120,NA
"NCT00006076",2000-07-26,"COMPLETED",NA,968,"ACTUAL"
"NCT00006078",2000-06-30,"COMPLETED","PHASE1",NA,NA
"NCT00006120",2000-05-31,"UNKNOWN","PHASE2",NA,NA
"NCT00006121",2000-05-31,"TERMINATED","PHASE2",18,"ACTUAL"
"NCT00006123",2000-07-31,"WITHDRAWN","PHASE1/PHASE2",0,"ACTUAL"
"NCT00006156",2000-08-31,"COMPLETED","NA",49,"ACTUAL"
"NCT00006172",2000-04-30,"COMPLETED","NA",32,"ACTUAL"
"NCT00006173",2000-08-31,"COMPLETED",NA,40,NA
"NCT00006175",2000-08-31,"COMPLETED",NA,160,NA
"NCT00006180",2000-08-10,"COMPLETED","PHASE4",220,NA
"NCT00006191",2000-08-31,"COMPLETED",NA,14,NA
"NCT00006192",2000-08-31,"COMPLETED",NA,NA,NA
"NCT00006204",2000-03-31,"COMPLETED","PHASE4",106,NA
"NCT00006214",2000-08-31,"COMPLETED","PHASE2",63,"ACTUAL"
